season,week,team_key,team_name,opp_key,opp_name,pts_for,pts_against
2004,16,101.l.442122.t.8,Drinkin' in the Yard,101.l.442122.t.1,Hags of Hagglestick,85.0,70.0
2004,16,101.l.442122.t.6,Goat,101.l.442122.t.3,The Connivers,86.0,92.0
2004,16,101.l.442122.t.7,Grunting Grundles,101.l.442122.t.4,TKOSpikes,81.0,67.0
2004,16,101.l.442122.t.1,Hags of Hagglestick,101.l.442122.t.8,Drinkin' in the Yard,70.0,85.0
2004,16,101.l.442122.t.9,Los_ticos,101.l.442122.t.2,Btch McFcky Pants,133.0,76.0
2004,16,101.l.442122.t.4,TKOSpikes,101.l.442122.t.7,Grunting Grundles,67.0,81.0
2004,16,101.l.442122.t.3,The Connivers,101.l.442122.t.6,Goat,92.0,86.0
2004,17,101.l.442122.t.2,Btch McFcky Pants,101.l.442122.t.1,Hags of Hagglestick,48.0,26.0
2004,17,101.l.442122.t.8,Drinkin' in the Yard,101.l.442122.t.9,Los_ticos,93.0,106.0
2004,17,101.l.442122.t.6,Goat,101.l.442122.t.4,TKOSpikes,84.0,84.0
2004,17,101.l.442122.t.7,Grunting Grundles,101.l.442122.t.3,The Connivers,110.0,68.0
2004,17,101.l.442122.t.1,Hags of Hagglestick,101.l.442122.t.2,Btch McFcky Pants,26.0,48.0
2004,17,101.l.442122.t.9,Los_ticos,101.l.442122.t.8,Drinkin' in the Yard,106.0,93.0
2004,17,101.l.442122.t.4,TKOSpikes,101.l.442122.t.6,Goat,84.0,84.0
2004,17,101.l.442122.t.3,The Connivers,101.l.442122.t.7,Grunting Grundles,68.0,110.0
2005,1,124.l.494589.t.9,99 Problems,124.l.494589.t.3,Goat,96.0,53.0
2005,1,124.l.494589.t.7,Desperados,124.l.494589.t.5,The Assbags,56.0,69.0
2005,1,124.l.494589.t.3,Goat,124.l.494589.t.9,99 Problems,53.0,96.0
2005,1,124.l.494589.t.2,Grunting Grundles,124.l.494589.t.1,Hags of Hagglestick,59.0,80.0
2005,1,124.l.494589.t.1,Hags of Hagglestick,124.l.494589.t.2,Grunting Grundles,80.0,59.0
2005,1,124.l.494589.t.6,Rancid Douche Cunts,124.l.494589.t.10,the stunods,81.0,62.0
2005,1,124.l.494589.t.5,The Assbags,124.l.494589.t.7,Desperados,69.0,56.0
2005,1,124.l.494589.t.4,The Connivers,124.l.494589.t.8,The Dartmaster,58.0,75.0
2005,1,124.l.494589.t.8,The Dartmaster,124.l.494589.t.4,The Connivers,75.0,58.0
2005,1,124.l.494589.t.10,the stunods,124.l.494589.t.6,Rancid Douche Cunts,62.0,81.0
2005,2,124.l.494589.t.9,99 Problems,124.l.494589.t.4,The Connivers,78.0,55.0
2005,2,124.l.494589.t.7,Desperados,124.l.494589.t.6,Rancid Douche Cunts,39.0,100.0
2005,2,124.l.494589.t.3,Goat,124.l.494589.t.1,Hags of Hagglestick,73.0,103.0
2005,2,124.l.494589.t.2,Grunting Grundles,124.l.494589.t.10,the stunods,76.0,89.0
2005,2,124.l.494589.t.1,Hags of Hagglestick,124.l.494589.t.3,Goat,103.0,73.0
2005,2,124.l.494589.t.6,Rancid Douche Cunts,124.l.494589.t.7,Desperados,100.0,39.0
2005,2,124.l.494589.t.5,The Assbags,124.l.494589.t.8,The Dartmaster,104.0,74.0
2005,2,124.l.494589.t.4,The Connivers,124.l.494589.t.9,99 Problems,55.0,78.0
2005,2,124.l.494589.t.8,The Dartmaster,124.l.494589.t.5,The Assbags,74.0,104.0
